City,Date,Temperature,Humidity
Vale Covo,2021-06-22,90.25,37.87
Kayu Agung,2021-06-25,61.85,95.92
San José de Mayo,2021-06-09,35.52,67.14
Kostanay,2021-05-31,80.68,114.08
Solidaridad,2021-06-27,92.76,57.56
Lago,2021-06-08,63.78,93.01
Liaozhong,2021-06-23,39.72,109.26
Szamotuły,2021-06-10,37.7,74.69
‘Alāqahdārī Kirān wa Munjān,2021-06-04,7.93,10.19
Kabasalan,2021-06-09,1.49,110.83
Žacléř,2021-06-05,81.63,34.69
Vilela,2021-06-04,51.06,65.52
Kunduz,2021-06-08,28.76,1.46
Ropa,2021-06-10,41.7,106.05
Baolin,2021-06-05,46.52,7.94
Devesa,2021-06-10,67.3,65.28
Saint-Priest-en-Jarez,2021-06-24,65.12,78.68
Lahat,2021-06-13,62.57,82.78
Quinta de Valadares,2021-06-24,74.51,22.2
Krian,2021-06-23,4.86,42.77
城郊,2021-06-29,61.47,43.33
Dashev,2021-06-14,2.62,87.06
Berthierville,2021-06-02,65.36,83.51
Zhovkva,2021-06-18,9.85,50.8
Porsgrunn,2021-06-17,56.22,13.36
Blawi,2021-06-13,77.02,82.4
Taesal-li,2021-06-13,47.57,1.69
Samdo,2021-06-20,73.25,119.98
Huacrachuco,2021-05-31,45.94,22.7
Acajutla,2021-06-28,11.51,76.03
Karangturi,2021-06-22,43.91,62.87
Mārupe,2021-05-31,37.83,28.61
Avon,2021-06-29,65.9,104.34
Tafí Viejo,2021-06-05,12.72,83.66
Mineiros,2021-06-22,34.24,51.18
Mombaça,2021-06-16,94.75,6.09
Pagedangan,2021-06-20,16.52,24.23
San Vicente,2021-06-05,86.61,91.92
Conceição das Alagoas,2021-06-23,33.78,38.23
Condado,2021-06-14,72.79,52.52
Ostaszewo,2021-06-07,94.18,93.09
Biograd na Moru,2021-06-19,67.98,38.6
Infonavit,2021-06-05,79.67,80.05
São Roque,2021-06-03,94.1,105.81
Frederiksberg,2021-06-07,39.97,65.92
Ouranoupolis,2021-06-18,3.31,71.7
Blon’,2021-06-03,78.09,97.95
Manassas,2021-06-26,55.16,38.99
Santisimo Rosario,2021-06-11,97.29,117.47
Montpellier,2021-06-19,83.48,61.62
Citeureup,2021-06-10,29.61,13.84
Efkarpía,2021-06-08,28.63,86.92
Resplendor,2021-06-17,16.26,108.16
Khotynets,2021-06-14,72.81,74.87
Greystones,2021-06-28,61.46,75.93
Xubao,2021-06-06,70.56,108.29
Vaiusu,2021-06-11,48.43,46.68
Batiovo,2021-06-08,7.58,112.46
Stockholm,2021-06-29,20.07,66.22
Jibu,2021-06-29,58.7,100.61
Gainesville,2021-06-26,12.2,79.53
Dowlatyār,2021-06-06,60.71,39.48
Khyzy,2021-06-20,70.85,88.4
Korotych,2021-06-06,67.84,50.47
Bledzew,2021-06-28,64.17,110.94
Embu,2021-06-27,44.84,115.54
Cikubang,2021-06-06,50.36,72.5
Gardanne,2021-06-29,35.45,115.49
Longsheng,2021-06-29,46.0,26.29
Bendilwungu Lor,2021-06-24,12.1,99.49
Yudai,2021-06-16,96.32,52.06
Jaleswar,2021-06-26,48.51,73.47
Almeria,2021-06-24,52.58,75.52
Cadagmayan Norte,2021-06-02,17.16,40.42
Aengceleng,2021-06-08,57.86,5.0
Frampol,2021-06-05,42.28,87.16
Santa Lucía,2021-06-21,45.84,106.42
Nagoselo do Douro,2021-06-17,79.44,108.78
Lagasit,2021-06-21,77.86,76.02
Bombon,2021-06-15,43.83,42.14
Chocianów,2021-06-20,47.01,11.61
La Jutosa,2021-06-19,38.63,15.48
Zheleznodorozhnyy,2021-06-19,79.68,35.75
Camingawan,2021-06-19,34.17,93.65
Bokino,2021-06-29,91.3,15.18
Wushi,2021-06-20,12.98,27.82
El Colorado,2021-06-16,10.27,34.27
Daping,2021-06-07,10.25,16.87
Alcoutim,2021-06-04,17.38,119.93
Orlovskiy,2021-06-22,98.38,87.22
Mthatha,2021-06-19,87.17,72.92
Lengshui,2021-06-06,88.07,21.2
Benevides,2021-06-12,36.83,82.1
Kyegegwa,2021-06-22,41.28,31.59
Kodra,2021-06-11,77.91,79.2
Nanmen,2021-06-21,45.85,73.95
Kharp,2021-06-06,83.68,89.67
Gongbuxue,2021-06-22,78.06,61.32
Klobuky,2021-06-13,31.26,81.65
Mozdok,2021-06-27,24.75,117.2
